Thread ID: 70321780771280
Fiber ID: 70321808515740
Total: 0.019491
Sort by: self_time

 %self      total      self      wait     child     calls  name
  2.29      0.019     0.000     0.000     0.019        1   ActiveSupport::Testing::Performance::Profiler#run 
  2.05      0.000     0.000     0.000     0.000        3   Module#public_instance_methods 
  1.89      0.003     0.000     0.000     0.003       85  *Class#new 
  1.60      0.000     0.000     0.000     0.000      115   ActiveSupport::Notifications::Fanout::Subscriber#subscribed_to? 
  1.41      0.000     0.000     0.000     0.000      131   Hash#[]= 
  1.16      0.000     0.000     0.000     0.000       57   Kernel#respond_to? 
  1.09      0.000     0.000     0.000     0.000       78   String#gsub! 
  1.07      0.001     0.000     0.000     0.000        5   Array#select 
  1.03      0.012     0.000     0.000     0.012       74  *Array#each 
  1.03      0.000     0.000     0.000     0.000        5   URI::Generic#initialize 
  0.92      0.000     0.000     0.000     0.000        4   Array#- 
  0.85      0.000     0.000     0.000     0.000       15   Hash#each 
  0.81      0.000     0.000     0.000     0.000      168   String#to_s 
  0.62      0.000     0.000     0.000     0.000       18  *Array#map 
  0.61      0.000     0.000     0.000     0.000       64   Symbol#to_s 
  0.60      0.001     0.000     0.000     0.001       15  *MonitorMixin#mon_synchronize 
  0.58      0.018     0.000     0.000     0.018        1   ActionDispatch::Integration::Session#process 
  0.58      0.000     0.000     0.000     0.000       22   String#split 
  0.57      0.000     0.000     0.000     0.000       62   Kernel#is_a? 
  0.56      0.000     0.000     0.000     0.000        5   Hash#each_pair 
  0.56      0.000     0.000     0.000     0.000       15   MonitorMixin#mon_enter 
  0.55      0.000     0.000     0.000     0.000       14   Rack::Utils::HeaderHash#[]= 
  0.49      0.000     0.000     0.000     0.000       15   MonitorMixin#mon_exit 
  0.49      0.000     0.000     0.000     0.000       54   <Class::BasicObject>#allocate 
  0.48      0.000     0.000     0.000     0.000      165   String#=== 
  0.44      0.000     0.000     0.000     0.000       34  *Kernel#initialize_dup 
  0.44      0.000     0.000     0.000     0.000        6   String#sub 
  0.44      0.000     0.000     0.000     0.000       46   Kernel#=== 
  0.44      0.000     0.000     0.000     0.000        1   ActiveSupport::Inflector#underscore 
  0.44      0.000     0.000     0.000     0.000        4   Array#reject! 
  0.43      0.000     0.000     0.000     0.000       16   ActiveSupport::SafeBuffer#initialize 
  0.43      0.000     0.000     0.000     0.000       23  *Kernel#dup 
  0.41      0.000     0.000     0.000     0.000       86   <Class::Thread>#current 
  0.40      0.000     0.000     0.000     0.000       45   ActiveSupport::Notifications::Fanout::Subscriber#matches? 
  0.40      0.000     0.000     0.000     0.000        6   ActiveSupport::Callbacks::ClassMethods#__callback_runner_name 
  0.39      0.000     0.000     0.000     0.000        1   <Class::Rack::MockRequest>#env_for 
  0.38      0.000     0.000     0.000     0.000        3   IO#write 
  0.37      0.000     0.000     0.000     0.000       48   Module#=== 
  0.36      0.000     0.000     0.000     0.000       33   Hash#[] 
  0.36      0.000     0.000     0.000     0.000        5   URI::Parser#split 
  0.36      0.000     0.000     0.000     0.000       23   Hash#initialize_copy 
  0.36      0.000     0.000     0.000     0.000       11   ActiveSupport::OrderedOptions#method_missing 
  0.35      0.000     0.000     0.000     0.000       54   Kernel#class 
  0.35      0.000     0.000     0.000     0.000       39   <Class::Hash>#allocate 
  0.35      0.003     0.000     0.000     0.003        1   ActionView::CompiledTemplates#_app_views_welcome_index_slim__139758645822068059_70321812092360 
  0.32      0.000     0.000     0.000     0.000       21   <Class::Time>#now 
  0.32      0.003     0.000     0.000     0.003        7  *Array#collect 
  0.31      0.001     0.000     0.000     0.001        4   ActionView::AssetPaths#compute_public_path 
  0.31      0.000     0.000     0.000     0.000       11   Kernel#tap 
  0.30      0.001     0.000     0.000     0.001       54  *Hash#default 
